IMDB_ID,AMPERE_TITLE,COUNTRY,PLATFORM,PLATFORM_TYPE,ORIGINAL_FLAG,ORIGINAL_PLATFORM,PARENT_DISTRIBUTOR,MONTH_YEAR
tt24852126,Jingle Bell Heist,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt38466379,"My Father, the BTK Killer",Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt21308718,Ashes,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt14849194,The Holdovers,Mexico,Netflix,svod,Not An Original,,NBCUniversal,2026-06-01
tt28802657,De De Pyaar De 2,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt15245240,The Buckingham Murders,Argentina,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt19891040,This Closeness,Colombia,MUBI,svod,Not An Original,,Independent / Other,2026-06-01
tt20202136,Descendants: the Rise of Red,Chile,Disney+,svod,Disney+ Original,Disney+,Disney,2026-06-01
tt25363184,Stan Lee,Argentina,Disney+,svod,Disney+ Original,Disney+,Disney,2026-06-01
tt31519456,La Dolce Villa,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt21403688,Operation Mayfair,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt15009428,Argylle,Argentina,Apple TV,svod,Apple TV Exclusive,Apple TV,Independent / Other,2026-06-01
tt12132908,Chandramukhi 2,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt27640680,The Lady of Silence: the Mataviejitas Murders,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt32020404,The Commandant's Shadow,Colombia,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt32155665,53 Sundays,Colombia,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt12823454,Your Place or Mine,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt26342662,M3GAN 2.0,Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt20215234,Conclave,Mexico,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt24176060,Queer,Colombia,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt33014583,Dhurandhar,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt28066777,Orion and the Dark,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt27726927,Wham!,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt26596953,Forgotten Love,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt27599851,Apocalypse Z: the Beginning of the End,Colombia,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt31711040,Look Back,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt28129054,Take Cover,Ecuador,Paramount+,svod,Not An Original,,Independent / Other,2026-06-01
tt26928684,Summer Camp,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt15685360,You Gotta Believe,Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt31032711,Squad 36,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt23846874,Sajini Shinde Ka Viral Video,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt13651794,May December,Colombia,Amazon Prime Video,svod,Netflix Exclusive,Netflix,Independent / Other,2026-06-01
tt4712810,Now You See Me: Now You Don't,Peru,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt36424914,Pets on a Train,Ecuador,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt17007120,The Beanie Bubble,Mexico,Apple TV,svod,Apple TV Original,Apple TV,Independent / Other,2026-06-01
tt28355490,Art of Love,Mexico,Tubi,avod,Netflix Original,Netflix,Netflix,2026-06-01
tt30253473,Materialists,Argentina,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt24807110,Don't Move,Chile,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt27989067,Lust Stories 2,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt18113118,Chien et chat,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt5181260,The Unbreakable Boy,Argentina,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt31852716,Apollo 13: Survival,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt7985704,Operation Fortune: Ruse De Guerre,Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt28477867,LEGO Marvel Avengers: Code Red,Brazil,Disney+,svod,Disney+ Original,Disney+,Disney,2026-06-01
tt23149780,Eden,Argentina,Amazon Other,svod,Not An Original,,Independent / Other,2026-06-01
tt16539454,Pushpa: the Rule - Part 2,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt34996428,Homo Argentum,Argentina,Disney+,svod,Not An Original,,Independent / Other,2026-06-01
tt27078772,Lewis Capaldi: How I'm Feeling Now,Ecuador,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt11097384,Spaceman,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt15979666,The Archies,Colombia,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt31032711,Squad 36,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt6718170,The Super Mario Bros. Movie,Mexico,Claro Video,svod,Not An Original,,NBCUniversal,2026-06-01
tt33029024,Idly Kadai,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt10365912,Becoming Led Zeppelin,Ecuador,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt32743167,Carved,Brazil,Disney+,svod,Hulu Original,Hulu,Independent / Other,2026-06-01
tt19356262,Drive-Away Dolls,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt21735972,Where the Tracks End,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt31036941,Jurassic World: Rebirth,Argentina,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt14124080,The Great Escaper,Peru,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt38504137,Babo: The Haftbefehl Story,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt5040012,Nosferatu,Colombia,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt37543886,Stolen: Heist of the Century,Colombia,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt15944018,Once Upon a Crime,Colombia,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt9214772,Monkey Man,Peru,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt28568397,Friday Night Plan,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt32244931,Boxer,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt27936770,Bhakshak,Peru,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt32362890,Thrash,Ecuador,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt34388152,Officer on Duty,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt27722618,Left-Handed Girl,Brazil,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
