imdb_id,month,country,platform,streams,total_minutes
tt0327785,2025-01-01,Argentina,Amazon,179.0,8632.0
tt0327785,2025-01-01,Brazil,Amazon,1965.0,167161.0
tt0327785,2025-01-01,Colombia,Amazon,1208.0,94768.0
tt0327785,2025-01-01,Mexico,Amazon,783.0,61326.0
tt0327785,2025-02-01,Argentina,Amazon,179.0,17100.0
tt0327785,2025-02-01,Brazil,Amazon,1292.0,96624.0
tt0327785,2025-02-01,Colombia,Amazon,462.0,39159.0
tt0327785,2025-02-01,Mexico,Amazon,792.0,70304.0
tt0327785,2025-03-01,Argentina,Amazon,192.0,12115.0
tt0327785,2025-03-01,Brazil,Amazon,34.0,1030.0
tt0327785,2025-03-01,Colombia,Amazon,66.0,6255.0
tt0327785,2025-03-01,Mexico,Amazon,52.0,4443.0
tt0327785,2025-04-01,Brazil,Amazon,45.0,4936.0
tt0327785,2025-04-01,Colombia,Amazon,3.0,1.0
tt0327785,2025-05-01,Argentina,Amazon,8.0,924.0
tt0327785,2025-05-01,Brazil,Amazon,17.0,1954.0
tt0327785,2025-05-01,Mexico,Amazon,70.0,7646.0
tt0327785,2025-06-01,Brazil,Amazon,517.0,55091.0
tt0327785,2025-06-01,Colombia,Amazon,28.0,3145.0
tt0327785,2025-06-01,Mexico,Amazon,34.0,3723.0
tt0327785,2025-07-01,Brazil,Amazon,16.0,1744.0
tt0327785,2025-07-01,Mexico,Amazon,53.0,5726.0
tt0327785,2025-08-01,Brazil,Amazon,133.0,9022.0
tt0327785,2025-08-01,Colombia,Amazon,4.0,509.0
tt0327785,2025-08-01,Mexico,Amazon,3.0,371.0
tt0327785,2025-09-01,Brazil,Amazon,20.0,2299.0
tt0327785,2025-09-01,Colombia,Amazon,83.0,9011.0
tt0327785,2025-10-01,Brazil,Amazon,252.0,27147.0
tt0327785,2025-10-01,Mexico,Amazon,66.0,7144.0
tt0327785,2025-11-01,Brazil,Amazon,111.0,11945.0
tt0327785,2025-12-01,Brazil,Amazon,49.0,131.0
tt0327785,2026-01-01,Argentina,Amazon,21.0,2280.0
tt0327785,2026-01-01,Brazil,Amazon,41.0,4424.0
tt0327785,2026-01-01,Colombia,Amazon,12.0,1295.0
tt0327785,2026-01-01,Mexico,Amazon,266.0,27551.0
tt0327785,2026-02-01,Argentina,Amazon,19.0,2068.0
tt0327785,2026-02-01,Brazil,Amazon,166.0,17626.0
tt0327785,2026-02-01,Colombia,Amazon,5.0,563.0
tt0327785,2026-02-01,Mexico,Amazon,103.0,10862.0
tt0327785,2026-03-01,Argentina,Amazon,24.0,2557.0
tt0327785,2026-03-01,Brazil,Amazon,12.0,1258.0
tt0327785,2026-03-01,Colombia,Amazon,13.0,1464.0
tt0327785,2026-03-01,Mexico,Amazon,72.0,7620.0
tt0327785,2026-04-01,Argentina,Amazon,7.0,750.0
tt0327785,2026-04-01,Brazil,Amazon,22.0,2316.0
tt0327785,2026-04-01,Colombia,Amazon,5.0,3.0
tt0327785,2026-04-01,Mexico,Amazon,32.0,3385.0
tt0327785,2026-05-01,Argentina,Amazon,27.0,2919.0
tt0327785,2026-05-01,Brazil,Amazon,7.0,0.0
tt0327785,2026-05-01,Colombia,Amazon,13.0,1387.0
tt0327785,2026-06-01,Brazil,Amazon,65.0,6113.0
tt0327785,2026-06-01,Colombia,Amazon,6.0,699.0
tt0327785,2026-06-01,Mexico,Amazon,19.0,2027.0
tt0439572,2023-08-01,Argentina,HBO Max,275.0,32949.0
tt0439572,2023-08-01,Brazil,Amazon,22.0,230.0
tt0439572,2023-08-01,Brazil,HBO Max,1618.0,187157.0
tt0439572,2023-08-01,Colombia,HBO Max,370.0,46228.0
tt0439572,2023-08-01,Mexico,Amazon,11.0,1639.0
tt0439572,2023-08-01,Mexico,HBO Max,1651.0,184941.0
tt0439572,2023-09-01,Argentina,HBO Max,302.0,34046.0
tt0439572,2023-09-01,Brazil,Amazon,82.0,8773.0
tt0439572,2023-09-01,Brazil,HBO Max,1647.0,181539.0
tt0439572,2023-09-01,Colombia,HBO Max,446.0,54237.0
tt0439572,2023-09-01,Mexico,Amazon,82.0,6220.0
tt0439572,2023-09-01,Mexico,HBO Max,1642.0,172828.0
tt0439572,2023-10-01,Argentina,HBO Max,32.0,2184.0
tt0439572,2023-10-01,Brazil,Amazon,13.0,135.0
tt0439572,2023-10-01,Brazil,HBO Max,591.0,63368.0
tt0439572,2023-10-01,Colombia,HBO Max,120.0,14544.0
tt0439572,2023-10-01,Mexico,Amazon,99.0,2231.0
tt0439572,2023-10-01,Mexico,HBO Max,311.0,37212.0
tt0439572,2023-11-01,Argentina,HBO Max,31.0,3612.0
tt0439572,2023-11-01,Brazil,Amazon,56.0,305.0
tt0439572,2023-11-01,Brazil,HBO Max,255.0,24970.0
tt0439572,2023-11-01,Colombia,HBO Max,105.0,11974.0
tt0439572,2023-11-01,Mexico,Amazon,94.0,4817.0
tt0439572,2023-11-01,Mexico,HBO Max,300.0,35796.0
tt0439572,2023-12-01,Argentina,HBO Max,66.0,4259.0
tt0439572,2023-12-01,Brazil,Amazon,0.0,0.0
tt0439572,2023-12-01,Brazil,HBO Max,225.0,26575.0
tt0439572,2023-12-01,Colombia,HBO Max,134.0,16293.0
tt0439572,2023-12-01,Mexico,Amazon,8.0,1143.0
tt0439572,2023-12-01,Mexico,HBO Max,108.0,11393.0
tt0439572,2024-01-01,Argentina,HBO Max,3.0,527.0
tt0439572,2024-01-01,Brazil,Amazon,34.0,259.0
tt0439572,2024-01-01,Brazil,HBO Max,203.0,20475.0
tt0439572,2024-01-01,Colombia,HBO Max,54.0,6795.0
tt0439572,2024-01-01,Mexico,Amazon,25.0,264.0
tt0439572,2024-01-01,Mexico,HBO Max,171.0,16237.0
tt0439572,2024-02-01,Argentina,HBO Max,66.0,5798.0
tt0439572,2024-02-01,Brazil,Amazon,17.0,101.0
tt0439572,2024-02-01,Brazil,HBO Max,121.0,10722.0
tt0439572,2024-02-01,Colombia,HBO Max,40.0,2112.0
tt0439572,2024-02-01,Mexico,Amazon,10.0,107.0
tt0439572,2024-02-01,Mexico,HBO Max,84.0,9299.0
tt0439572,2024-03-01,Argentina,HBO Max,47.0,1482.0
tt0439572,2024-03-01,Brazil,Amazon,20.0,203.0
tt0439572,2024-03-01,Brazil,HBO Max,85.0,9577.0
tt0439572,2024-03-01,Colombia,HBO Max,69.0,5603.0
tt0439572,2024-03-01,Mexico,Amazon,56.0,581.0
tt0439572,2024-03-01,Mexico,HBO Max,177.0,23783.0
tt0439572,2024-04-01,Brazil,Amazon,14.0,148.0
tt0439572,2024-04-01,Brazil,HBO Max,80.0,6292.0
tt0439572,2024-04-01,Colombia,HBO Max,15.0,1887.0
tt0439572,2024-04-01,Mexico,Amazon,11.0,46.0
tt0439572,2024-04-01,Mexico,HBO Max,122.0,11816.0
tt0439572,2024-05-01,Argentina,HBO Max,0.0,0.0
tt0439572,2024-05-01,Brazil,Amazon,10.0,9.0
tt0439572,2024-05-01,Brazil,HBO Max,115.0,13099.0
tt0439572,2024-05-01,Colombia,HBO Max,24.0,3749.0
tt0439572,2024-05-01,Mexico,Amazon,32.0,165.0
tt0439572,2024-05-01,Mexico,HBO Max,154.0,9257.0
tt0439572,2024-06-01,Argentina,HBO Max,14.0,1698.0
tt0439572,2024-06-01,Brazil,HBO Max,71.0,9969.0
tt0439572,2024-06-01,Colombia,Amazon,15.0,2228.0
tt0439572,2024-06-01,Colombia,HBO Max,54.0,7111.0
tt0439572,2024-06-01,Mexico,Amazon,0.0,0.0
tt0439572,2024-06-01,Mexico,HBO Max,86.0,11725.0
tt0439572,2024-07-01,Argentina,HBO Max,15.0,2186.0
tt0439572,2024-07-01,Colombia,HBO Max,30.0,4345.0
tt0439572,2024-07-01,Mexico,HBO Max,33.0,4977.0
tt0439572,2024-08-01,Brazil,HBO Max,34.0,4753.0
tt0439572,2024-08-01,Colombia,HBO Max,22.0,3402.0
tt0439572,2024-08-01,Mexico,HBO Max,140.0,19893.0
tt0439572,2024-09-01,Argentina,HBO Max,12.0,1699.0
tt0439572,2024-09-01,Brazil,Amazon,46.0,2807.0
tt0439572,2024-09-01,Brazil,HBO Max,136.0,18712.0
tt0439572,2024-09-01,Colombia,HBO Max,21.0,3109.0
tt0439572,2024-09-01,Mexico,Amazon,6.0,63.0
tt0439572,2024-09-01,Mexico,HBO Max,85.0,12499.0
tt0439572,2024-10-01,Argentina,HBO Max,9.0,763.0
tt0439572,2024-10-01,Brazil,Amazon,19.0,1339.0
tt0439572,2024-10-01,Brazil,HBO Max,46.0,5745.0
tt0439572,2024-10-01,Colombia,HBO Max,50.0,6704.0
tt0439572,2024-10-01,Mexico,Amazon,23.0,2330.0
tt0439572,2024-10-01,Mexico,HBO Max,10.0,1459.0
tt0439572,2024-11-01,Argentina,Amazon,35.0,1421.0
tt0439572,2024-11-01,Argentina,HBO Max,28.0,3905.0
tt0439572,2024-11-01,Brazil,Amazon,111.0,11627.0
tt0439572,2024-11-01,Colombia,Amazon,36.0,5249.0
tt0439572,2024-11-01,Colombia,HBO Max,8.0,1221.0
tt0439572,2024-11-01,Mexico,Amazon,262.0,24164.0
tt0439572,2024-11-01,Mexico,HBO Max,338.0,46881.0
tt0439572,2024-12-01,Argentina,Amazon,161.0,8394.0
tt0439572,2024-12-01,Brazil,Amazon,667.0,39125.0
tt0439572,2024-12-01,Brazil,HBO Max,132.0,16960.0
tt0439572,2024-12-01,Colombia,Amazon,261.0,14707.0
tt0439572,2024-12-01,Colombia,HBO Max,45.0,6221.0
tt0439572,2024-12-01,Mexico,Amazon,831.0,73377.0
tt0439572,2024-12-01,Mexico,HBO Max,33.0,4036.0
tt0439572,2025-01-01,Argentina,HBO Max,1.0,143.0
tt0439572,2025-01-01,Brazil,Amazon,190.0,10344.0
tt0439572,2025-01-01,Brazil,HBO Max,3.0,454.0
tt0439572,2025-01-01,Colombia,Amazon,67.0,6482.0
tt0439572,2025-01-01,Colombia,HBO Max,7.0,1128.0
tt0439572,2025-01-01,Mexico,Amazon,197.0,22261.0
tt0439572,2025-01-01,Mexico,HBO Max,28.0,2768.0
tt0439572,2025-02-01,Brazil,Amazon,83.0,7450.0
tt0439572,2025-02-01,Brazil,HBO Max,166.0,22383.0
tt0439572,2025-02-01,Colombia,HBO Max,6.0,473.0
tt0439572,2025-02-01,Mexico,Amazon,69.0,6935.0
tt0439572,2025-02-01,Mexico,HBO Max,176.0,23391.0
tt0439572,2025-03-01,Argentina,Amazon,48.0,6923.0
tt0439572,2025-03-01,Brazil,Amazon,217.0,5773.0
tt0439572,2025-03-01,Brazil,HBO Max,143.0,11251.0
tt0439572,2025-03-01,Colombia,Amazon,43.0,6015.0
tt0439572,2025-03-01,Colombia,HBO Max,2.0,257.0
tt0439572,2025-03-01,Mexico,Amazon,228.0,12792.0
tt0439572,2025-03-01,Mexico,HBO Max,18.0,1805.0
tt0439572,2025-04-01,Brazil,Amazon,37.0,5436.0
tt0439572,2025-04-01,Brazil,HBO Max,29.0,32.0
tt0439572,2025-04-01,Colombia,HBO Max,17.0,2223.0
tt0439572,2025-04-01,Mexico,Amazon,32.0,5114.0
tt0439572,2025-05-01,Brazil,Amazon,79.0,11608.0
tt0439572,2025-05-01,Brazil,HBO Max,16.0,2254.0
